experiment,case,repeat,seed,n,m,q,sigma,B,noise_model,trials,successes,failures,success_rate,failure_rate,accumulated_error_mean,accumulated_abs_error_mean,accumulated_error_std,time_keygen_s,time_encrypt_total_s,time_decrypt_total_s,time_encrypt_mean_s,time_decrypt_mean_s,time_attack_s,attack_solution_found,attack_success,public_key_size_bytes
q_sweep,q=193,25,1188095814,64,128,193,4.0,,gaussian,1000,962,38,0.962,0.038,6.765,18.115,21.48556269694616,2.300000051036477e-05,0.0066164169984404,0.0023594580125063658,6.6164169984403994e-06,2.359458012506366e-06,,,,8320
q_sweep,q=193,26,3066746617,64,128,193,4.0,,gaussian,1000,708,292,0.708,0.292,-35.294,36.742,23.067979878951164,2.5250003091059625e-05,0.006648208000115119,0.0024039999989327043,6.648208000115119e-06,2.4039999989327044e-06,,,,8320
q_sweep,q=193,27,2935653621,64,128,193,4.0,,gaussian,1000,968,32,0.968,0.032,1.36,17.854,22.242912290146432,2.3125001462176442e-05,0.006621624997933395,0.0023661250015720725,6.621624997933395e-06,2.3661250015720725e-06,,,,8320
q_sweep,q=193,28,1362542854,64,128,193,4.0,,gaussian,1000,808,192,0.808,0.192,-26.137,29.631,24.137664714256385,2.5542001822032034e-05,0.006651292002061382,0.002370041998801753,6.651292002061382e-06,2.370041998801753e-06,,,,8320
q_sweep,q=193,29,3295894200,64,128,193,4.0,,gaussian,1000,966,34,0.966,0.034,9.758,19.668,21.94919595801184,2.533399674575776e-05,0.006607374991290271,0.0023577909887535498,6.6073749912902715e-06,2.3577909887535498e-06,,,,8320
q_sweep,q=257,0,2816910129,64,128,257,4.0,,gaussian,1000,991,9,0.991,0.009,-4.375,18.527,23.09882964418178,2.3916989448480308e-05,0.006624333007493988,0.0023775419977027923,6.624333007493987e-06,2.3775419977027924e-06,,,,9360
q_sweep,q=257,1,1237948156,64,128,257,4.0,,gaussian,1000,993,7,0.993,0.007,8.534,20.158,23.281900499978324,2.562500594649464e-05,0.006649707996984944,0.002353832998778671,6.649707996984944e-06,2.353832998778671e-06,,,,9360
q_sweep,q=257,2,1479755405,64,128,257,4.0,,gaussian,1000,978,22,0.978,0.022,-17.67,22.67,21.513994328156546,2.5375004042871296e-05,0.006643583998084068,0.002365249994909391,6.643583998084068e-06,2.3652499949093908e-06,,,,9360
q_sweep,q=257,3,629468477,64,128,257,4.0,,gaussian,1000,995,5,0.995,0.005,-15.079,20.493,19.77001802256671,2.5542001822032034e-05,0.006651584000792354,0.0023459170042769983,6.651584000792354e-06,2.3459170042769985e-06,,,,9360
q_sweep,q=257,4,1716489993,64,128,257,4.0,,gaussian,1000,957,43,0.957,0.043,-28.881,30.501,20.584668264695637,2.533300721552223e-05,0.006659458013018593,0.0023943330015754327,6.659458013018593e-06,2.3943330015754325e-06,,,,9360
q_sweep,q=257,5,3316404484,64,128,257,4.0,,gaussian,1000,980,20,0.98,0.02,9.418,20.914,24.638188170324465,2.295900776516646e-05,0.006641374988248572,0.0023535000073025003,6.641374988248572e-06,2.3535000073025e-06,,,,9360
q_sweep,q=257,6,2521069362,64,128,257,4.0,,gaussian,1000,984,16,0.984,0.016,13.883,22.055,23.356687390249625,2.5125002139247954e-05,0.006662457992206328,0.0023668329959036782,6.662457992206327e-06,2.366832995903678e-06,,,,9360
q_sweep,q=257,7,1948280406,64,128,257,4.0,,gaussian,1000,967,33,0.967,0.033,-21.216,25.818,23.551645887793576,2.5124987587332726e-05,0.0066394169989507645,0.002359542006161064,6.639416998950764e-06,2.359542006161064e-06,,,,9360
q_sweep,q=257,8,3585146399,64,128,257,4.0,,gaussian,1000,962,38,0.962,0.038,-25.307,27.517,21.455047659468626,2.533300721552223e-05,0.0066432079911464825,0.0023594579979544505,6.6432079911464826e-06,2.3594579979544507e-06,,,,9360
q_sweep,q=257,9,1236433468,64,128,257,4.0,,gaussian,1000,969,31,0.969,0.031,-20.029,24.423,22.692798904545075,2.5208995793946087e-05,0.006630083007621579,0.002366582994000055,6.630083007621579e-06,2.366582994000055e-06,,,,9360
q_sweep,q=257,10,804142841,64,128,257,4.0,,gaussian,1000,906,94,0.906,0.094,-37.353,37.663,19.432447375742743,2.270800177939236e-05,0.006642916006967425,0.002461583004333079,6.642916006967425e-06,2.461583004333079e-06,,,,9360
q_sweep,q=257,11,908913090,64,128,257,4.0,,gaussian,1000,964,36,0.964,0.036,29.143,30.675,20.33908132707152,3.8124999264255166e-05,0.007105917000444606,0.002464666002197191,7.105917000444606e-06,2.464666002197191e-06,,,,9360
q_sweep,q=257,12,1880460858,64,128,257,4.0,,gaussian,1000,946,54,0.946,0.054,25.233,28.409,23.305489843744045,3.80830024369061e-05,0.007045833001029678,0.0024505000037606806,7.045833001029678e-06,2.4505000037606807e-06,,,,9360
q_sweep,q=257,13,4224622540,64,128,257,4.0,,gaussian,1000,985,15,0.985,0.015,11.555,22.199,24.812872740850743,3.662500239443034e-05,0.006992249996983446,0.0024898750125430524,6.992249996983446e-06,2.4898750125430524e-06,,,,9360
q_sweep,q=257,14,2376900329,64,128,257,4.0,,gaussian,1000,987,13,0.987,0.013,0.227,18.723,23.645730937985224,3.749999450519681e-05,0.006821000002673827,0.002349832997424528,6.821000002673827e-06,2.349832997424528e-06,,,,9360
q_sweep,q=257,15,2775867056,64,128,257,4.0,,gaussian,1000,978,22,0.978,0.022,-22.693,25.337,20.37557152363867,3.4500000765547156e-05,0.006675958007690497,0.0023704579944023862,6.675958007690497e-06,2.3704579944023863e-06,,,,9360
q_sweep,q=257,16,3618007146,64,128,257,4.0,,gaussian,1000,991,9,0.991,0.009,3.599,19.929,24.702072613272584,2.5792003725655377e-05,0.006713333001243882,0.002396416006376967,6.713333001243882e-06,2.396416006376967e-06,,,,9360
q_sweep,q=257,17,2246542310,64,128,257,4.0,,gaussian,1000,997,3,0.997,0.003,2.797,17.467,21.720579517466252,2.69579904852435e-05,0.006717166004818864,0.002381458005402237,6.717166004818864e-06,2.3814580054022373e-06,,,,9360
q_sweep,q=257,18,2457532452,64,128,257,4.0,,gaussian,1000,987,13,0.987,0.013,12.848,21.028,23.151087854977114,2.6749999960884452e-05,0.006794457993237302,0.002398374999756925,6.794457993237302e-06,2.398374999756925e-06,,,,9360
q_sweep,q=257,19,490465973,64,128,257,4.0,,gaussian,1000,998,2,0.998,0.002,3.609,16.619,20.58197601632887,2.4125009076669812e-05,0.0067707909911405295,0.002392124995822087,6.770790991140529e-06,2.392124995822087e-06,,,,9360
q_sweep,q=257,20,1263202501,64,128,257,4.0,,gaussian,1000,897,103,0.897,0.103,-35.802,37.012,23.144815369289045,2.608299837447703e-05,0.006768582999939099,0.0023995829978957772,6.768582999939099e-06,2.399582997895777e-06,,,,9360
q_sweep,q=257,21,3918917547,64,128,257,4.0,,gaussian,1000,997,3,0.997,0.003,-7.468,17.648,20.853101156130897,2.5832996470853686e-05,0.006753333000233397,0.0023926249996293336,6.753333000233397e-06,2.3926249996293335e-06,,,,9360
q_sweep,q=257,22,3181796187,64,128,257,4.0,,gaussian,1000,999,1,0.999,0.001,3.285,17.147,21.284426273728915,2.616700658109039e-05,0.006816124994657002,0.002399374992819503,6.8161249946570025e-06,2.399374992819503e-06,,,,9360
q_sweep,q=257,23,1429308576,64,128,257,4.0,,gaussian,1000,995,5,0.995,0.005,-9.106,18.858,21.635916363234465,2.3665998014621437e-05,0.00676108300103806,0.0024019170086830854,6.76108300103806e-06,2.4019170086830856e-06,,,,9360
q_sweep,q=257,24,2576449666,64,128,257,4.0,,gaussian,1000,996,4,0.996,0.004,8.7,18.998,21.726758894323194,2.6374997105449438e-05,0.00675641700217966,0.0024099160073092207,6.75641700217966e-06,2.4099160073092205e-06,,,,9360
q_sweep,q=257,25,3396206978,64,128,257,4.0,,gaussian,1000,996,4,0.996,0.004,3.484,17.448,21.555193582298685,2.549999044276774e-05,0.006767250000848435,0.0023815420136088505,6.767250000848435e-06,2.3815420136088505e-06,,,,9360
q_sweep,q=257,26,229538304,64,128,257,4.0,,gaussian,1000,986,14,0.986,0.014,-12.709,20.727,22.546988395031512,2.566599869169295e-05,0.006847458003903739,0.0024087920028250664,6.8474580039037396e-06,2.4087920028250665e-06,,,,9360
q_sweep,q=257,27,3888391744,64,128,257,4.0,,gaussian,1000,997,3,0.997,0.003,-6.505,17.185,20.61739683015419,2.3999993572942913e-05,0.006809166996390559,0.0023914580087875947,6.8091669963905585e-06,2.3914580087875946e-06,,,,9360
